code;fclass;Color;LOD;Layer;Description;OSM Tags
2521;gift_shop;;;pois;A gift shop.;shop=gift
2522;sports_shop;;;pois;A shop selling sports equipment.;shop=sports
2523;stationery;;;pois;A shop selling stationery for private and office use.;shop=stationery
2524;outdoor_shop;;;pois;A shop selling outdoor equiment.;shop=outdoor
2525;mobile_phone_shop;;;pois;A shop for mobile phones.;shop=mobile_phone
2526;toy_shop;;;pois;A toy store.;shop=toys
2527;newsagent;;;pois;A show selling mainly newspapers and magazines.;shop=newsagent
2528;greengrocer;;;pois;A shop selling fruit and vegetables.;shop=greengrocer
2529;beauty_shop;;;pois;A shop that provides personal beauty services like a nail salon or tanning salon.;shop=beauty
2530;video_shop;;;pois;A place where you can buy films.;shop=video
2541;car_dealership;;;pois;A car dealership.;shop=car
2542;bicycle_shop;;;pois;A bicycle shop.;shop=bicycle
2543;doityourself;;;pois;A do-it-yourself shop where you can buy tools and building materials.;shop=doityourself and shop=hardware
2544;furniture_shop;;;pois;A furniture store.;shop=furniture
2546;computer_shop;;;pois;A computer shop.;shop=computer
2547;garden_centre;;;pois;A place selling plants and gardening goods.;shop=garden_centre
2561;hairdresser;;;pois;A hair salon.;shop=hairdresser
2562;car_repair;;;pois;A car garage.;shop=car_repair
2563;car_rental;;;pois;A place where you can rent a car.;amenity=car_rental
2564;car_wash;;;pois;A car wash.;amenity=car_wash
2565;car_sharing;;;pois;A car sharing station.;amenity=car_sharing
2566;bicycle_rental;;;pois;A place where you can rent bicycles.;amenity=bicycle_rental
2567;travel_agent;;;pois;A travel agency.;shop=travel_agency
2568;laundry;;;pois;A place where you can wash clothes or have them cleaned.;shop=laundry, shop=dry_cleaning
2590;vending_machine;;;pois;An unspecified vending machine.;amenity=vending_machine with none of the specifics below
2591;vending_cigarette;;;pois;A cigarette vending machine.;vending=cigarettes
2592;vending_parking;;;pois;A vending machine for parking tickets.;vending=parking_tickets
2593;vending_drinks;;;pois;A vending machine for drinks.;amenity=vending_machine with vending=drinks
2594;vending_tickets;;;pois;A vending machine for public transport tickets.;amenity=vending_machine with vending=public_transport_tickets
2601;bank;;;pois;A bank.;amenity=bank
